PID,Social Media Post,Normalized Claim
2290,looks fake,there are job vacancies at brookside dairy limited
1651,fauci admits covid vaccines are spreading disease,dr fauci said that vaccines are spreading disease
2158,buffalo protester shoved by police could be an antifa provocateur year old martin gugino was pushed away after appearing to scan police communications in order to black out the equipment oann i watched he fell harder than was pushed was aiming scanner could be a set up,protester martin gugino was trying to scan police communications in order to black out the equipment
1489,kisanandolan farmersprotestdelhi ka sach hathon mein mango talvaarein lathiyan khalistanjindabad ke naare bharatmata ki jai nahin boleinge farmersprotesthijacked farmerswithmodi farmersact farmersprotest,sikh farmers carrying swords sticks and chanting khalistan zindabad in the ongoing protest against farm bills
1913,systemic racism definition when a black american president is not allowed to name a supreme court justice in the last months of his term but a white american president can name one in the last days,there is a double standard in how senate republicans handled the confirmations for obamas and trumps high court picks
2273,official government documents indicate authorities are using monkeypox to cover up the fact the covid vaccines cause acquired immune deficiency syndrome,were not witnessing an outbreak of monkeypox across firstworld countries but the consequences of the damage that has been caused to immune systems by the covid vaccines
566,still think the tories arent deliberately destroying the nhs spot the difference nhs hospitals have just been hit with a rise in their business rates this will just add to the financial pressures the nhs is already facing coincidence we think not wr wear red stand up and be counted meanwhile private hospitals are allowed to register as a charity saving them up to on their business rates,private hospitals can register as a charity saving them up to on their business rates
1702,poland has a strict nomigrants policy draw your own conclusions,poland has had no terror attacks
2700,important announcement coronavirus from someone who is graduated with a masters degree and who worked in shenzhen hospital guangdong province china the following notes on coronavirus for guidance if you have a runny nose and sputum you have a common cold coronavirus pneumonia is a dry cough with no runny nose this new virus is not heatresistant and will be killed by a temperature of just degrees it hates the sun if someone sneezes with it it takes about feet before it drops to the ground and is no longer airborne if it drops on a metal surface it will live for at least hours so if you come into contact with any metal surface wash your hands as soon as you can with a bacterial soap on fabric it can survive for hours normal laundry detergent will kill it drinking warm water is effective for all viruses try not to drink liquids with ice wash your hands frequently as the virus can only live on your hands for minutes but a lot can happen during that time you can rub your eyes pick your nose unwittingly and so on you should also gargle as a prevention a simple solution of salt in warm water will suffice cant emphasise enough drink plenty of water the symptoms it will first infect the throat so you will have a sore throat lasting days the virus then blends into a nasal fluid that enters the trachea and then the lungs causing pneumonia this takes about days further with the pneumonia comes high fever and difficulty in breathing the nasal congestion is not like the normal kind you feel like you are drowning its imperative you then seek immediate attention spread the word please share,if you have a runny nose and sputum you have a common cold
1314,scientists reconstructed d model of how adam the first human created by god might have looked and how humans will look in years human body will physically changed due to consistent use of smartphones laptops and other tech scientists explain source daily mail,scientists reconstructed d model of how adam the first human created by god might have looked and how humans will look in years human body will physically changed due to consistent use of smartphones laptops and other tech scientists explain source daily mail
1262,muslim labour mp naz shah those abused girls in rotherham and elsewhere just need to shut their mouths for the good of diversity,naz shah said those abused girls in rotherham and elsewhere just need to shut their mouths for the good of diversity
2322,the virus does not settle in the air but is grounded so it is not transmitted by air,cronavirus does not settle in air but is grounded unicef
1545,in walt disney created mickey mouse nobody could have predicted the impact mickey would have nearly a century later he is still the walt disney companys dominant figure and the face of disney however in figment will take over as the official disney mascot from mickey mouse the decision to remove mickey mouse as disneys official mascot was motivated primarily by legal concerns mickey mouses copyright protection is set to expire in january this means that mickey mouse will be in the public domain and anyone will be able to use him disneys famous mouse will no longer have the same level of legal protection via mousetrapnews,mickey mouse will be replaced as official disney mascot
1256,we want the poppy sold every were sic in the uk,the royal british legion will not be selling poppies in certain areas to avoid upsetting minorities
508,reciting sanatani shloka at the funeral of queen elizabeth of britain,reciting sanatani shloka at the funeral of queen elizabeth of britain
1821,tejashwi yadav scared of manish kashyap tejashwi yadav left the dream of becoming chief minister tejashwi yadav revealed,tejashwi yadav give up his claim for bihar chief ministership after the arrest of a youtuber
369,pint glasses will be adorned with a crown for the first time in nearly years after ministers axed eu rules banning the patriotic symbol,the eu banned the crown symbol from appearing on pint glasses
2801,danger of face mask reduces oxygen to the brain reduces oxygen in the blood you start feeling weak may lead to death open air supplies the body with oxygen and negative ions oxygen accelerates healing detoxifies the body and provides energy for repair and rebuilding negative ions help the immune system to destroy poisonous germs and bacteria and have a tonic affect on the body,face masks cause cancer
1101,congratulations to mr raghuram rajan on being appointed as the governor of the bank of england,raghuram rajan is appointed as the governor of bank of england
2138,investments in the chips and science law will create more than million construction jobs alone over the next years building semiconductor factories in america,investments in the chips and science law will create more than million construction jobs alone over the next years building semiconductor factories in america
928,no grand welcome us media did not cover his visit kamala harris did not tweet about her meeting with him itni beizzati se toh achha tha plane mein baith ke kuchh aur files padh lete vishwaguru ji,us vice president kamala harris tweeted regarding her meeting with zambian president but ignored tweeting her meeting with indian pm narendra modi
1303,this minute recording was made on feb years ago listen closely to the last seconds of this recording sound familiar,a blackandwhite film from predicted the coronavirus pandemic
1024,dose of the covid vaccine gives good protection against your child getting seriously ill but doses gives stronger and longerlasting protection,covid vaccines do not protect yearolds or yearolds against serious illness or death with the disease
963,did you know stop using aluminum foil to cook research into the dangers of cooking with aluminum foil has found that some of the toxic metal can contaminate food this is especially true when foil is used to cook or heat spicy and acidic food increased levels of aluminum in the body have been linked to osteoporosis and alzheimers disease,cooking in aluminum foil cause alzheimers disease
2172,elder brother virat kohli came to meet younger brother rishabh pant admitted in the hospital,virat kohli reaches dehradun hospital to meet injured rishabh pant
197,the national media was silent,dorothy dow was murdered in the uk in and the national media was silent
1135,mera bharat mahaan mera bhagyanagaram mahaan saudi arabia prince expelled pakistan pm imran khan more over given acres land to construct hindu temple either swamy narayan iskcon lord venkateshwara,pakistan pm imran khan was expelled from the conference of islamic countries for condemning the construction of ram temple in ayodhya
766,the wild elephant had left the forest meandering into abl nearby village in kerala,the wild elephant had left the forest meandering into abl nearby village in keralas mallapuram in search of food as she walked on the streets she was offered a crackerladen pineapple by locals the injured animal walked up to the velliyar river and stood there she died standing
