PID,Social Media Post,Normalized Claim
1,president realdonaldtrump bidens plan would mean americas seniors have no air conditioners during the summer,bidens energy plan would get rid of seniors air conditioning heat and electricity
2,important announcement coronavirus last evening dining out with friends one of their uncles who is graduated with a masters degree and who worked in shenzhen hospital guangdong province china sent him the following notes on coronavirus for guidance if you have a runny nose and sputum you have a common cold coronavirus pneumonia is a dry cough with no runny nose this new virus is not heatresistant and will be killed by a temperature of just degrees it hates the sun if someone sneezes with it it takes about feet before it drops to the ground and is no longer airborne if it drops on a metal surface it will live for at least hours so if you come into contact with any metal surface wash your hands as soon as you can with a bacterial soap on fabric it can survive for hours normal laundry detergent will kill it drinking warm water is effective for all viruses try not to drink liquids with ice wash your hands frequently as the virus can only live on your hands for minutes but a lot can happen during that time you can rub your eyes pick your nose unwittingly and so on you should also gargle as a prevention a simple solution of salt in warm water will suffice cant emphasise enough drink plenty of water the symptoms it will first infect the throat so you will have a sore throat lasting days the virus then blends into a nasal fluid that enters the trachea and then the lungs causing pneumonia this takes about days further with the pneumonia comes high fever and difficulty in breathing the nasal congestion is not like the normal kind you feel like you are drowning its imperative you then seek immediate attention spread the word please share,if someone with the new coronavirus sneezes it travels about feet before it drops to the ground and is no longer airborne
3,heart is delighted to hear,heart is delighted to hear
4,an allowed appeal is one where the initial refusal is overturned and the judge replaces the decision most commonly with a decision to grant a form of status,the vast majority of people coming across the channel are economic migrants they are not asylum seekers
5,warm water therapy dr d mensah asare says that the main benefits of warm water are numerous a group of japanese doctors confirmed that warm water is effective in resolving some health problems including headache migraine high blood pressure low blood pressure pain of joints sudden increasing and decreasing of heartbeat epilepsy increasing level of cholesterol cough bodily discomfort golu pain asthma hooping cough blockage of veins diseases related to uterus urine stomach problems poor appetite also all related diseases to the eyes ear throat how to use warm water drink glasses of warm water not above degree centigrade temperature on empty stomach first thing in the morning and eat nothing until an hour later you may not be able to make glasses at the beginning but slowly you will the warm water therapy will resolve these health issues within reasonable periods diabetes in days blood pressure in days stomach related issues in days all types of cancer in months blockage of veins in months lack of hunger poor appetite in days uterus and related diseases in days nose ear throat problems in days women problems in days heart diseases in days headachemigraine in days low blood pressure in days cholesterol in months epilepsy and paralysis continously in months asthma in months no doubt warm water on empty stomach every morning will help immensely in aiding digestion eliminating constipation alleviating pain sheding excess fats improving blood circulation slowing down to a great measure premature aging etc,a widely popular social media post claims that drinking warm water will cure a long list of diseases we fact checked and found that the claim is mostly false
6,in thane thyrocare lab sealed by gov because they gave fake covid positive reports to ppl the reason behind this is this lab have connection with pvt hospitals and after fake positive reports they send that person to that particular hospitals those have three lakhs rupees package for covid patient false positives putting thane citizens at risk please share so it can reach to max people,thyrocare labs are sealed in thane over falsepositive covid testing
7,meanwhile in kipsigis a covid patient was nearly buried alive moh has really bungled this pandemic and the best thing they could all do is resign,covid victim was almost buried alive
8,did you know eating onions daily helps increase immunity treat depression fight the common cold and flu being a potent natural antibiotic and it helps you sleep better,eating slices of onions a day treat depression
9,qanon promoters on telegram including qanon john are already speculating baselessly that the elementary school shooting in uvalde texas was a false flag,the shooting at an elementary school in uvalde county texas was a false flag
10,in asia where hundreds of millions of smallpox vaccinations were given from to aids remains rare conversely the us is experiencing a major aids epidemic yet smallpox was eradicated there many years ago,according to the times in smallpox vaccines triggered the awakening of dormant hiv among recipients causing the aids epidemic
